Campaña;Canal;% Recorrido;% Contactabilidad;Efec. Bruta;Efect Neta;Vueltas;MES;AÑO
LLxMxDxRxz_PxLxTx_xV;MxRKxTMxX;44,76%;0,318667447;0,001435214;0,001033354;;1;2024
LLxMxDxRxz_PxLxTx_xV;NxTPxG;70,49%;0,570531552;0,001691362;0,000881414;;1;2024
RxCHxZxDx_xN_TxRRxNx_LxB;xpxx Txlxvxntxz;56,04%;0,674230146;-;-;;1;2024
WxNBxCK_xV;Kxnxctx txlxvxntxz;100,00%;0,718248054;0,034121037;0,020634006;;1;2024
WxNBxCK_BxzxNxzz_RxC;Hxldtxch;90,63%;0,298085779;0,002376652;0,000855595;;1;2024
WxNBxCK_CLxRx;Hxldtxch zxntxxgx;96,30%;0,335066275;0,054364562;0,027478384;;1;2024
WxNBxCK_CLxRx;Hxldtxch;92,89%;0,198568923;0,021452608;0,01752664;;1;2024
WxNBxCK_CLxRx;Kxnxctx txlxvxntxz;100,00%;0,273742086;0,03635257;0,016931334;;1;2024
WxNBxCK_CLxRx;PHxxNxXzxLxz;100,00%;0,428231052;0,032932331;0,01518797;;1;2024
WxNBxCK_CLxRx;Kxnxctx txlxvxntxz cxlxmbxx;97,53%;0,421861828;0,038633552;0,01398801;;1;2024
WxNBxCK_CxNzxMxR;Kxnxctx txlxvxntxz cxlxmbxx;100,00%;0,294538636;0,013494127;0,010086972;;1;2024
WxNBxCK_CxNzxMxR;Kxnxctx txlxvxntxz;100,00%;0,387110224;0,01559652;0,009714167;;1;2024
WxNBxCK_CxNzxMxR;PHxxNxXzxLxz;100,00%;0,334956462;0,012542044;0,007696254;;1;2024
WxNBxCK_CxNzxMxR;Hxldtxch zxntxxgx;100,00%;0,366387476;0,012824874;0,007449993;;1;2024
WxNBxCK_CxNzxMxR;Hxldtxch;100,00%;0,271177951;0,009807371;0,007432492;;1;2024
WxNBxCK_CxNzxMxR_xDxCxxNxL;Kxnxctx txlxvxntxz;99,74%;0,854487702;0,012206761;0,008841111;;1;2024
WxNBxCK_CxNzxMxR_xDxCxxNxL;PHxxNxXzxLxz;99,26%;0,831176674;0,01141671;0,007836015;;1;2024
WxNBxCK_CxNzxMxR_xDxCxxNxL;Hxldtxch zxntxxgx;77,35%;0,453426913;-;-;;1;2024
WxNBxCK_DxxDxRxz;Hxldtxch;94,30%;0,379580022;0,028363101;0,020335808;;1;2024
WxNBxCK_DxxDxRxz;Kxnxctx txlxvxntxz;100,00%;0,315031075;0,029830562;0,01996659;;1;2024
WxNBxCK_DxxDxRxz;Kxnxctx txlxvxntxz cxlxmbxx;98,92%;0,479410451;0,022483076;0,014098503;;1;2024
WxNBxCK_DxxDxRxz;Hxldtxch zxntxxgx;95,50%;0,398879435;0,019542837;0,011210958;;1;2024
WxNBxCK_DxxDxRxz;PHxxNxXzxLxz;100,00%;0,520943953;0,013470823;0,010073315;;1;2024
WxNBxCK_DxxDxRxz_BxzxNxzz;Kxnxctx txlxvxntxz;99,53%;0,5112658;0,010748836;0,011465425;;1;2024
WxNBxCK_MxVxzTxR;Kxnxctx txlxvxntxz;100,00%;0,382525566;0,023919598;0,015477387;;1;2024
WxNBxCK_MxVxzTxR;Hxldtxch;100,00%;0,362958561;0,017862459;0,013843406;;1;2024
WxNBxCK_MxVxzTxR;Hxldtxch zxntxxgx;100,00%;0,390068141;0,022621591;0,012002011;;1;2024
WxNBxCK_MxVxzTxR;Kxnxctx txlxvxntxz cxlxmbxx;94,81%;0,448411246;0,019959932;0,011649477;;1;2024
WxNBxCK_MxVxzTxR;PHxxNxXzxLxz;92,36%;0,336898517;0,013155245;0,009128129;;1;2024
Wxnbxck_Bxzxnxzz;Kxnxctx txlxvxntxz;99,98%;0,522583;0,032980048;0,008320933;;1;2024
Wxnbxck_Bxzxnxzz;Hxldtxch;99,88%;0,497013877;0,004594451;0,002650645;;1;2024
BxzxNxzz_PNG;Kxnxctx txlxvxntxz;96,10%;0,460889159;0,001405882;0,001367885;;2;2024
